@format ~
50 Cent
Aaron Eckhart
Adam Sandler
Adrien Brody
Al Pacino
Alan Alda
Alan Rickman
Alec Baldwin
Andy Garcia
Andy Serkis
Anthony Hopkins
Antonio Banderas
Arnold Schwarzenegger
Ashton Kutcher
Ben Affleck
Ben Kingsley
Ben Stiller
Benicio Del Toro
Bernard Hill
Bill Cosby
Bill Murray
Bill Nighy
Billy Bob Thornton
Billy Crystal
Billy Zane
Bob Hoskins
Brad Pitt
Bradley Cooper
Bruce Greenwood
Bruce Willis
Bryan Brown
Burt Reynolds
Cary Elwes
Channing Tatum
Charlie Sheen
Chris Rock
Christian Bale
Christian Slater
Christopher Lloyd
Christopher Plummer
Christopher Walken
Cillian Murphy
Clint Eastwood
Clive Owen
Colin Firth
Colin Farrell
Cuba Gooding Jr.
Daniel Craig
Daniel Day-Lewis
Daniel Radcliffe
Danny Aiello
Danny Glover
David Duchovny
David Strathairn
David Wenham
Dennis Hopper
Denzel Washington
Dermot Mulroney
Dominic Monaghan
Don Cheadle
Dustin Hoffman
Dwayne Johnson
Ed Harris
Eddie Murphy
Edward James Olmos
Edward Norton
Elijah Wood
Emile Hirsch
Eric Bana
Eric Roberts
Eric Stoltz
Ethan Hawke
Ewan McGregor
F. Murray Abraham
Forest Whitaker
Frank Langella
Gary Busey
Gary Oldman
Gene Hackman
Gerard Butler
Geoffrey Rush
George Clooney
Giovanni Ribisi
Guy Pearce
Harrison Ford
Hank Azaria
Hayden Christensen
Hugh Grant
Hugh Jackman
Hugh Laurie
Hugo Weaving
Ian McKellen
Idris Elba
Jack Lemmon
Jack Nicholson
Jackie Chan
James Caan
James Earl Jones
James Franco
James McAvoy
James Marsden
James Woods
Jamie Foxx
Jason Bateman
Jason Stratham
Javier Bardem
Jean Claude Van Damme
Jean Reno
Jeff Bridges
Jeff Daniels
Jeff Goldblum
Jeremy Irons
Jeremy Renner
Jerry Seinfeld
Jesse Eisenberg
Jet Li
Jim Carrey
Joaquin Phoenix
Joe Pesci
John Cleese
John Cusack
John Malcovich
John Travolta
Johnny Depp
Jon Voight
Jonah Hill
Joseph Gordon-Levitt
Josh Brolin
Josh Hartnett
Jude Law
Justin Timberlake
Kal Penn
Kareem Abdul-Jabbar
Karl Urban
Keanu Reeves
Keifer Sutherland
Ken Watanabe
Kenneth Branagh
Kevin Bacon
Kevin Costner
Kevin Spacey
Kurt Russell
Laurence Fishburne
Leonardo DiCaprio
Liam Neeson
Luke Wilson
Malcolm McDowell
Mark Ruffalo
Mark Wahlberg
Martin Lawrence
Matt Damon
Matt Dillon
Matt LeBlanc
Matthew Broderick
Matthew McConaughey
Matthew Perry
Mel Gibson
Michael Caine
Michael Douglas
Michael J. Fox
Michael Keaton
Mickey Rourke
Mike Myers
Morgan Freeman
Mos Def
Nicolas Cage
Nick Nolte
Nigel Hawthorne
Orlando Bloom
Owen Wilson
Paul Bettany
Paul Newman
Peter O'Toole
Philip Seymour Hoffman
Pierce Brosnan
Ralph Fiennes
Ray Liotta
Richard Dreyfuss
Richard E. Grant
Richard Gere
Rob Schneider
Robbie Coltrane
Robert De Niro
Robert Downey Jr.
Robert Duvall
Robert Pattinson
Robert Redford
Roberto Benigni
Robin Williams
Roy Scheider
Rupert Everett
Rupert Grint
Russell Crowe
Ryan Gosling
Ryan Phillipe
Ryan Reynolds
Sacha Baron Cohen
Sam Rockwell
Samuel L. Jackson
Sean Astin
Sean Bean
Sean Connery
Sean Penn
Seth Rogen
Shia LaBeouf
Simon Pegg
Steve Carell
Steve Martin
Steve Zahn
Sylvester Stallone
Taylor Lautner
Terence Stamp
Tim Allen
Tim Robbins
Tim Roth
Timothy Dalton
Toby Maguire
Tom Cruise
Tom Hanks
Tommy Lee Jones
Topher Grace
Val Kilmer
Viggo Mortensen
Vin Diesel
Ving Rhames
Walter Matthau
Warwick Davis
Wesley Snipes
Will Ferrell
Will Smith
William Hurt
William Shatner
Woody Allen
Woody Harrelson
Zach Galifianakis
Zachary Quinto
